date,id,prices,price_diff,market_caps,market_caps_diff,total_volumes,total_volumes_diff,date,open,high,low
2017-09-19,bitcoin,0.17,0.0,16833419.06,-515704.8500000015,3.88,-2.12,2017-09-19,0.11,0.17,0.11
2017-09-23,bitcoin,0.09,0.0,8828963.16,-592334.9299999997,0.79,-135.09,2017-09-23,0.17,0.17,0.09
2017-09-27,bitcoin,0.12,0.03,11505513.15,2539732.9299999997,59.55,41.36,2017-09-27,0.09,0.12,0.09
2017-09-30,bitcoin,0.17,0.04000000000000001,17191164.68,3973835.8900000006,204.64,202.01999999999998,2017-09-30,0.14,0.17,0.13
2017-10-03,bitcoin,0.12,0.009999999999999995,12443238.4,1655874.3499999996,42.09,27.650000000000006,2017-10-03,0.1,0.12,0.1
2017-10-07,bitcoin,0.13,-0.010000000000000009,12937532.58,-626814.8100000005,0.72,-2.41,2017-10-07,0.13,0.14,0.13
2017-10-11,bitcoin,0.22,0.07999999999999999,21645282.38,7637327.409999998,183.74,175.27,2017-10-11,0.13,0.22,0.13
2017-10-15,bitcoin,0.11,0.0,10973221.37,-243230.66999999993,1.87,-20.599999999999998,2017-10-15,0.24,0.24,0.11
2017-10-19,bitcoin,0.04,-0.07,3981769.72,-6868229.859999999,57.42,51.45,2017-10-19,0.18,0.18,0.04
2017-10-23,bitcoin,0.06,0.019999999999999997,5907118.83,1549969.0200000005,20.27,3.879999999999999,2017-10-23,0.1,0.1,0.04
2017-10-27,bitcoin,0.05,0.0,4626323.19,76962.05000000075,4.16,-5.24,2017-10-27,0.09,0.09,0.05
2017-10-31,bitcoin,1.29,-0.010000000000000009,127642112.83,-978914.2199999988,3364798.05,998661.1399999997,2017-10-31,0.05,1.3,0.05
2017-11-03,bitcoin,1.47,0.16999999999999993,145324589.62,16908595.49000001,3208792.78,-336881.8200000003,2017-11-03,1.26,1.47,1.26
2017-11-07,bitcoin,1.81,0.19999999999999996,179475107.11,20526357.640000015,6148040.17,1478802.6100000003,2017-11-07,1.63,1.81,1.54
2017-11-11,bitcoin,1.69,-0.1200000000000001,167488453.06,-11431518.939999998,5531033.52,-2239005.7200000007,2017-11-11,2.03,2.03,1.69
2017-11-15,bitcoin,1.52,-0.06000000000000005,150742563.64,-5943801.01000002,4445617.4,3701665.0600000005,2017-11-15,1.52,1.67,1.52
2017-11-19,bitcoin,1.6,-0.06999999999999984,158550630.58,-7041128.519999981,4583141.59,-166522.91999999993,2017-11-19,1.6,1.67,1.51
2017-11-23,bitcoin,1.56,-0.050000000000000044,154461164.41,-4935791.520000011,6363226.93,2048989.9799999995,2017-11-23,1.62,1.62,1.56
2017-11-27,bitcoin,1.97,0.1299999999999999,195050034.56,12546991.199999988,5335874.68,312438.1799999997,2017-11-27,1.69,1.97,1.69
2017-11-30,bitcoin,2.0,0.20999999999999996,198350010.17,21307412.069999993,10636605.08,-3840612.08,2017-11-30,1.99,2.0,1.79
2017-12-03,bitcoin,2.26,0.13999999999999968,224059470.8,14259326.200000018,7977301.98,4465225.65,2017-12-03,2.09,2.26,2.09
2017-12-07,bitcoin,3.0,0.6499999999999999,297086617.27,64664085.06999999,13305689.26,13305622.549999999,2017-12-07,2.57,3.0,2.35
2017-12-11,bitcoin,2.78,0.20999999999999996,275491319.0,20809905.949999988,7373520.42,2011423.7800000003,2017-12-11,2.95,2.95,2.57
2017-12-15,bitcoin,4.04,0.8399999999999999,400085905.97,83539080.89000005,31262864.45,10807520.870000001,2017-12-15,2.7,4.04,2.7
2017-12-19,bitcoin,5.94,0.3000000000000007,588418049.12,29684553.669999957,52886025.99,14886554.560000002,2017-12-19,4.68,5.97,4.68
