date,id,prices,price_diff,market_caps,market_caps_diff,total_volumes,total_volumes_diff,open,high,low
2013-04-30,bitcoin,135.3,-6.659999999999997,1501657493.0,-73374511.0,0.0,0.0,135.3,141.96,135.3
2013-05-03,bitcoin,91.01,-12.420000000000002,1011066494.0,-137601228.0,0.0,0.0,117.0,117.0,91.01
2013-05-07,bitcoin,106.4,-11.929999999999993,1183766500.0,-132225804.0,0.0,0.0,111.25,118.33,106.4
2013-05-11,bitcoin,113.01,-5.769999999999996,1259239352.0,-63750105.0,0.0,0.0,112.64,118.78,112.64
2013-05-15,bitcoin,114.16,-0.3400000000000034,1273849681.0,-3429307.0,0.0,0.0,114.71,117.18,114.16
2013-05-19,bitcoin,120.5,-3.3799999999999955,1346499262.0,-37255823.0,0.0,0.0,115.5,123.88,115.5
2013-05-23,bitcoin,125.75,2.75,1407041528.0,31249628.0,0.0,0.0,122.58,125.75,122.58
2013-05-27,bitcoin,128.99,-5.609999999999985,1445444606.0,-62324404.0,0.0,0.0,131.7,134.6,128.99
2013-05-31,bitcoin,127.98,0.5799999999999983,1436386730.0,7078096.0,0.0,0.0,129.18,132.13,127.4
2013-06-03,bitcoin,121.16,-0.14000000000000057,1361765704.0,-918496.0,0.0,0.0,129.09,129.09,121.16
2013-06-07,bitcoin,119.0,-2.7099999999999937,1339234925.0,-29998889.0,0.0,0.0,121.31,121.71,119.0
2013-06-11,bitcoin,105.99,6.239999999999995,1194605341.0,70760383.0,0.0,0.0,110.09,110.09,99.75
2013-06-15,bitcoin,98.4,-4.36999999999999,1110902570.0,-48863580.0,0.0,0.0,108.9,108.9,98.4
2013-06-19,bitcoin,106.55,4.549999999999997,1204638318.0,51803718.0,0.0,0.0,99.99,106.55,99.99
2013-06-23,bitcoin,107.25,-1.769999999999996,1214260369.0,-19489640.0,0.0,0.0,107.9,110.91,107.25
2013-06-27,bitcoin,103.39,-0.29999999999999716,1172207388.0,-2987522.0,0.0,0.0,108.0,108.0,102.44
2013-06-30,bitcoin,95.39,2.0600000000000023,1082693996.0,23740669.0,0.0,0.0,99.66,99.66,93.33
2013-07-03,bitcoin,90.8,1.3100000000000023,1031653673.0,15208527.0,0.0,0.0,97.5,97.5,89.49
2013-07-07,bitcoin,68.08,0.269999999999996,774804401.0,3436341.0,0.0,0.0,78.8,78.8,67.81
2013-07-11,bitcoin,85.75,8.75,977479256.0,100100831.0,0.0,0.0,77.5,85.75,76.39
2013-07-15,bitcoin,94.0,-1.5799999999999983,1073073450.0,-17642499.0,0.0,0.0,93.8,95.58,88.06
2013-07-19,bitcoin,88.79,-9.009999999999991,1015062893.0,-102644407.0,0.0,0.0,97.3,98.98,88.79
2013-07-23,bitcoin,91.7,1.3299999999999983,1050054379.0,15654928.0,0.0,0.0,91.57,91.7,89.28
2013-07-27,bitcoin,94.13,-2.8200000000000074,1079278107.0,-31954376.0,0.0,0.0,94.58,96.95,94.13
2013-07-31,bitcoin,110.34,8.840000000000003,1267183179.0,102077367.0,0.0,0.0,94.01,110.34,94.01
2013-08-03,bitcoin,103.7,2.0900000000000034,1192378895.0,24529441.0,0.0,0.0,106.23,106.23,101.61
2013-08-07,bitcoin,106.75,0.9099999999999966,1229098150.0,10672434.0,0.0,0.0,104.86,106.75,104.86
2013-08-11,bitcoin,103.77,1.0600000000000023,1197378682.0,12772897.0,0.0,0.0,101.67,103.77,101.67
2013-08-15,bitcoin,111.87,0.25,1292943118.0,3341057.0,0.0,0.0,105.18,111.87,105.18
2013-08-19,bitcoin,118.78,4.3799999999999955,1375023402.0,51260962.0,0.0,0.0,109.87,118.78,109.87
2013-08-23,bitcoin,120.0,-2.5,1391517000.0,-28341347.0,0.0,0.0,120.5,122.5,120.0
2013-08-27,bitcoin,125.67,3.6299999999999955,1459371151.0,42694219.0,0.0,0.0,120.44,125.67,120.44
2013-08-31,bitcoin,137.76,8.560000000000002,1602407100.0,100234230.0,0.0,0.0,123.02,137.76,123.02
2013-09-03,bitcoin,137.51,0.3400000000000034,1601702729.0,4570693.0,0.0,0.0,138.17,138.17,137.17
2013-09-07,bitcoin,123.73,-2.3999999999999915,1443353756.0,-27508086.0,0.0,0.0,135.21,135.21,123.73
2013-09-11,bitcoin,131.65,3.8700000000000045,1538132775.0,45828489.0,0.0,0.0,121.77,131.65,121.77
2013-09-15,bitcoin,129.95,-1.4399999999999977,1520967287.0,-16220164.0,0.0,0.0,134.22,135.05,129.95
2013-09-19,bitcoin,130.23,-1.8300000000000125,1526484433.0,-20796557.0,0.0,0.0,131.48,132.06,130.23
2013-09-23,bitcoin,126.73,-1.6400000000000006,1487984454.0,-18549820.0,0.0,0.0,128.57,128.57,126.73
2013-09-27,bitcoin,131.84,3.819999999999993,1550524096.0,45498572.0,0.0,0.0,126.09,131.84,126.09
