date,id,prices,price_diff,market_caps,market_caps_diff,total_volumes,total_volumes_diff,date,open,high,low
2017-10-19,bitcoin,0.03,0.0,695622018.26,-399386.0499999523,2815155.97,463477.8500000001,2017-10-19,0.03,0.03,0.03
2017-10-23,bitcoin,0.03,0.0,675273816.05,-45396032.42000008,3505126.54,603250.4199999999,2017-10-23,0.03,0.03,0.03
2017-10-27,bitcoin,0.03,0.0,687316826.4,-2120287.310000062,2569633.78,200233.53999999957,2017-10-27,0.03,0.03,0.03
2017-10-31,bitcoin,0.03,0.0,784322281.6,48371819.15999997,7251416.95,3456663.93,2017-10-31,0.03,0.03,0.03
2017-11-03,bitcoin,0.02,0.0,590863052.92,38082937.2299999,3029089.74,-2926161.6099999994,2017-11-03,0.02,0.02,0.02
2017-11-07,bitcoin,0.02,0.0,577877214.21,-388880.87999999523,2527154.87,-2316466.4699999997,2017-11-07,0.02,0.02,0.02
2017-11-11,bitcoin,0.03,0.0,712956034.57,5327390.170000076,5632137.89,-931545.8900000006,2017-11-11,0.03,0.03,0.03
2017-11-15,bitcoin,0.03,0.0,674481157.87,-5541963.320000052,6362414.67,3178934.6999999997,2017-11-15,0.02,0.03,0.02
2017-11-19,bitcoin,0.03,0.0,718729791.33,30943717.389999986,4652800.38,1668600.4299999997,2017-11-19,0.03,0.03,0.03
2017-11-23,bitcoin,0.03,0.0,724419632.81,-20505270.400000095,5222693.56,310394.7399999993,2017-11-23,0.03,0.03,0.03
2017-11-27,bitcoin,0.05,0.010000000000000002,1308514307.57,309080868.8799999,81568060.73,50604284.730000004,2017-11-27,0.03,0.05,0.03
2017-11-30,bitcoin,0.12,0.03,3216634513.09,814857781.1200004,123583686.66,-47198747.370000005,2017-11-30,0.12,0.12,0.09
2017-12-03,bitcoin,0.13,-0.010000000000000009,3420520703.42,-87153856.42000008,33634685.31,-8885797.379999995,2017-12-03,0.13,0.14,0.13
2017-12-07,bitcoin,0.11,-0.020000000000000004,2942716690.04,-401823705.1199999,63143994.71,-8245921.8500000015,2017-12-07,0.14,0.14,0.11
2017-12-11,bitcoin,0.12,0.009999999999999995,3115612115.87,244106610.80999994,39074223.84,-5564396.169999994,2017-12-11,0.12,0.12,0.11
2017-12-15,bitcoin,0.22,0.0,5642622686.13,16153866.359999657,213587305.96,-23457174.97,2017-12-15,0.13,0.22,0.13
2017-12-19,bitcoin,0.55,0.040000000000000036,14203659365.47,1061360440.4499989,275998423.61,48172636.74000001,2017-12-19,0.41,0.55,0.41
2017-12-23,bitcoin,0.44,0.030000000000000027,11313893784.09,564086498.4899998,90412317.64,-62506968.97000001,2017-12-23,0.49,0.5,0.41
2017-12-27,bitcoin,0.43,-0.020000000000000018,11163150600.89,-497727764.460001,84684312.31,-12928459.079999998,2017-12-27,0.41,0.45,0.41
2017-12-31,bitcoin,0.77,0.08999999999999997,19902516520.12,2308943377.779999,312335398.07,-362478835.57,2017-12-31,0.43,0.77,0.43
2018-01-03,bitcoin,1.08,0.27,27882000207.04,6947699138.330002,672172539.66,382024218.2,2018-01-03,0.75,1.08,0.75
2018-01-07,bitcoin,1.05,-0.040000000000000036,27297411640.98,-1061104043.9799995,231753940.09,-79554085.05999997,2018-01-07,1.18,1.18,1.05
2018-01-11,bitcoin,0.73,-0.08999999999999997,18860951569.24,-2306990122.329998,240846066.21,-379982.4499999881,2018-01-11,0.94,0.94,0.73
2018-01-15,bitcoin,0.82,-0.020000000000000018,21322528449.85,-505200691.09000015,223039389.07,58280794.349999994,2018-01-15,0.96,0.96,0.82
2018-01-19,bitcoin,0.67,0.0,17260984826.57,-145312839.83000183,106464152.84,-41293458.07999998,2018-01-19,0.64,0.67,0.64
2018-01-23,bitcoin,0.56,-0.019999999999999907,14644928136.54,-427804628.72999954,62623864.03,-6184287.769999996,2018-01-23,0.73,0.73,0.56
2018-01-27,bitcoin,0.63,0.010000000000000009,16216442032.26,126075476.42000008,45494958.25,-40941340.7,2018-01-27,0.62,0.64,0.62
2018-01-31,bitcoin,0.5,-0.08999999999999997,13008040886.54,-2235759688.799999,60904687.43,6870073.700000003,2018-01-31,0.63,0.63,0.5
2018-02-03,bitcoin,0.4,-0.009999999999999953,10368309335.21,-311570897.6500015,165611115.06,79610892.17,2018-02-03,0.5,0.5,0.4
