data_bitcoin,data_ethereum,data_tether,data_binancecoin,data_ripple,data_usd-coin,data_staked-ether,data_cardano,data_dogecoin,data_solana
bitcoin,ethereum,tether,binancecoin,ripple,usd-coin,staked-ether,cardano,dogecoin,solana
btc,eth,usdt,bnb,xrp,usdc,steth,ada,doge,sol
Bitcoin,Ethereum,Tether,BNB,XRP,USD Coin,Lido Staked Ether,Cardano,Dogecoin,Solana
,,ethereum,,,ethereum,ethereum,,,
"{'': {'decimal_place': None, 'contract_address': ''}}","{'': {'decimal_place': None, 'contract_address': ''}}","{'ethereum': {'decimal_place': 6, 'contract_address': '0xdac17f958d2ee523a2206206994597c13d831ec7'}, 'oasys': {'decimal_place': 18, 'contract_address': '0xdc3af65ecbd339309ec55f109cb214e0325c5ed4'}, 'rollux': {'decimal_place': 6, 'contract_address': '0x28c9c7fb3fe3104d2116af26cc8ef7905547349c'}, 'solana': {'decimal_place': 6, 'contract_address': 'Es9vMFrzaCERmJfrF4H2FYD4KCoNkY11McCe8BenwNYB'}, 'thundercore': {'decimal_place': 6, 'contract_address': '0x4f3c8e20942461e2c3bdd8311ac57b0c222f2b82'}, 'mantle': {'decimal_place': 6, 'contract_address': '0x201eba5cc46d216ce6dc03f6a759e8e766e956ae'}, 'neon-evm': {'decimal_place': 6, 'contract_address': '0x5f0155d08ef4aae2b500aefb64a3419da8bb611a'}, 'xdai': {'decimal_place': 6, 'contract_address': '0x4ecaba5870353805a9f068101a40e0f32ed605c6'}, 'polygon-zkevm': {'decimal_place': 6, 'contract_address': '0x1e4a5963abfd975d8c9021ce480b42188849d41d'}, 'bittorrent': {'decimal_place': 6, 'contract_address': '0xdb28719f7f938507dbfe4f0eae55668903d34a15'}, 'kava': {'decimal_place': 6, 'contract_address': '0x919c1c267bc06a7039e03fcc2ef738525769109c'}, 'kardiachain': {'decimal_place': 18, 'contract_address': '0x551a5dcac57c66aa010940c2dcff5da9c53aa53b'}, 'binance-smart-chain': {'decimal_place': 18, 'contract_address': '0x55d398326f99059ff775485246999027b3197955'}, 'polygon-pos': {'decimal_place': 6, 'contract_address': '0xc2132d05d31c914a87c6611c10748aeb04b58e8f'}, 'huobi-token': {'decimal_place': 18, 'contract_address': '0xa71edc38d189767582c38a3145b5873052c3e47a'}, 'iotex': {'decimal_place': None, 'contract_address': '0x3cdb7c48e70b854ed2fa392e21687501d84b3afc'}, 'arbitrum-one': {'decimal_place': 6, 'contract_address': '0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9'}, 'kucoin-community-chain': {'decimal_place': 18, 'contract_address': '0x0039f574ee5cc39bdd162e9a88e3eb1f111baf48'}, 'okex-chain': {'decimal_place': 6, 'contract_address': '0x382bb369d343125bfb2117af9c149795c6c65c50'}, 'moonriver': {'decimal_place': 6, 'contract_address': '0xb44a9b6905af7c801311e8f4e76932ee959c663c'}, 'optimistic-ethereum': {'decimal_place': 6, 'contract_address': '0x94b008aa00579c1307b0ef2c499ad98a8ce58e58'}, 'aurora': {'decimal_place': 6, 'contract_address': '0x4988a896b1227218e4a686fde5eabdcabd91571f'}, 'boba': {'decimal_place': 6, 'contract_address': '0x5de1677344d3cb0d7d465c10b72a8f60699c062d'}, 'metis-andromeda': {'decimal_place': 6, 'contract_address': '0xbb06dca3ae6887fabf931640f67cab3e3a16f4dc'}, 'cronos': {'decimal_place': 6, 'contract_address': '0x66e428c3f67a68878562e79a0234c1f83c208770'}, 'fuse': {'decimal_place': 6, 'contract_address': '0xfadbbf8ce7d5b7041be672561bba99f79c532e10'}, 'meter': {'decimal_place': 6, 'contract_address': '0x5fa41671c48e3c951afc30816947126ccc8c162e'}, 'tomochain': {'decimal_place': 6, 'contract_address': '0x381b31409e4d220919b2cff012ed94d70135a59e'}, 'harmony-shard-0': {'decimal_place': 6, 'contract_address': '0x3c2b8be99c50593081eaa2a724f0b8285f5aba8f'}, 'fantom': {'decimal_place': 6, 'contract_address': '0x049d68029688eabf473097a2fc38ef61633a3c7a'}, 'moonbeam': {'decimal_place': 6, 'contract_address': '0xefaeee334f0fd1712f9a8cc375f427d9cdd40d73'}, 'telos': {'decimal_place': 18, 'contract_address': '0xefaeee334f0fd1712f9a8cc375f427d9cdd40d73'}, 'syscoin': {'decimal_place': 6, 'contract_address': '0x922d641a426dcffaef11680e5358f34d97d112e1'}, 'tron': {'decimal_place': 6, 'contract_address': 'TR7NHqjeKQxGTCi8q8ZY4pL8otSzgjLj6t'}, 'milkomeda-cardano': {'decimal_place': 6, 'contract_address': '0x80a16016cc4a2e6a2caca8a4a498b1699ff0f844'}, 'conflux': {'decimal_place': 18, 'contract_address': '0xfe97e85d13abd9c1c33384e796f10b73905637ce'}, 'astar': {'decimal_place': 6, 'contract_address': '0x3795c36e7d12a8c252a20c5a7b455f7c57b60283'}, 'avalanche': {'decimal_place': 6, 'contract_address': '0x9702230a8ea53601f5cd2dc00fdbc13d4df4a8c7'}, 'bitgert': {'decimal_place': 18, 'contract_address': '0xde14b85cf78f2add2e867fee40575437d5f10c06'}, 'canto': {'decimal_place': 6, 'contract_address': '0xd567b3d7b8fe3c79a1ad8da978812cfc4fa05e75'}, 'ethereumpow': {'decimal_place': None, 'contract_address': '0x2ad7868ca212135c6119fd7ad1ce51cfc5702892'}, 'velas': {'decimal_place': 6, 'contract_address': '0xb44a9b6905af7c801311e8f4e76932ee959c663c'}, 'near-protocol': {'decimal_place': 6, 'contract_address': 'usdt.tether-token.near'}}","{'': {'decimal_place': None, 'contract_address': ''}, 'ethereum': {'decimal_place': 18, 'contract_address': '0xb8c77482e45f1f44de1745f52c74426c631bdd52'}}","{'': {'decimal_place': None, 'contract_address': ''}}","{'ethereum': {'decimal_place': 6, 'contract_address': '0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48'}, 'oasys': {'decimal_place': 18, 'contract_address': '0xe1ab220e37ac55a4e2dd5ba148298a9c09fbd716'}, 'xdai': {'decimal_place': 6, 'contract_address': '0xddafbb505ad214d7b80b1f830fccc89b60fb7a83'}, 'rollux': {'decimal_place': 6, 'contract_address': '0x368433cac2a0b8d76e64681a9835502a1f2a8a30'}, 'thundercore': {'decimal_place': None, 'contract_address': '0x22e89898a04eaf43379beb70bf4e38b1faf8a31e'}, 'mantle': {'decimal_place': 6, 'contract_address': '0x09bc4e0d864854c6afb6eb9a9cdf58ac190d0df9'}, 'neon-evm': {'decimal_place': 6, 'contract_address': '0xea6b04272f9f62f997f666f07d3a974134f7ffb9'}, 'zksync': {'decimal_place': None, 'contract_address': '0x3355df6d4c9c3035724fd0e3914de96a5a83aaf4'}, 'polygon-zkevm': {'decimal_place': 6, 'contract_address': '0xa8ce8aee21bc2a48a5ef670afcc9274c7bbbc035'}, 'kardiachain': {'decimal_place': 6, 'contract_address': '0x765277eebeca2e31912c9946eae1021199b39c61'}, 'tron': {'decimal_place': 6, 'contract_address': 'TEkxiTehnzSmSe2XqrBj4w32RUN966rdz8'}, 'aptos': {'decimal_place': 6, 'contract_address': '0xf22bede237a07e121b56d91a491eb7bcdfd1f5907926a9e58338f964a01b17fa::asset::USDC'}, 'binance-smart-chain': {'decimal_place': 18, 'contract_address': '0x8ac76a51cc950d9822d68b83fe1ad97b32cd580d'}, 'polygon-pos': {'decimal_place': 6, 'contract_address': '0x2791bca1f2de4661ed88a30c99a7a9449aa84174'}, 'moonbeam': {'decimal_place': 6, 'contract_address': '0x818ec0a7fe18ff94269904fced6ae3dae6d6dc0b'}, 'solana': {'decimal_place': 6, 'contract_address': 'EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v'}, 'tomochain': {'decimal_place': 6, 'contract_address': '0xcca4e6302510d555b654b3eab9c0fcb223bcfdf0'}, 'fantom': {'decimal_place': 6, 'contract_address': '0x04068da6c83afcfa0e13ba15a6696662335d5b75'}, 'harmony-shard-0': {'decimal_place': 6, 'contract_address': '0x985458e523db3d53125813ed68c274899e9dfab4'}, 'arbitrum-one': {'decimal_place': 6, 'contract_address': '0xaf88d065e77c8cc2239327c5edb3a432268e5831'}, 'okex-chain': {'decimal_place': 18, 'contract_address': '0xc946daf81b08146b1c7a8da2a851ddf2b3eaaf85'}, 'sora': {'decimal_place': 18, 'contract_address': '0x00ef6658f79d8b560f77b7b20a5d7822f5bc22539c7b4056128258e5829da517'}, 'ronin': {'decimal_place': 6, 'contract_address': '0x0b7007c13325c48911f73a2dad5fa5dcbf808adc'}, 'boba': {'decimal_place': 6, 'contract_address': '0x66a2a913e447d6b4bf33efbec43aaef87890fbbc'}, 'cronos': {'decimal_place': 6, 'contract_address': '0xc21223249ca28397b4b6541dffaecc539bff0c59'}, 'aurora': {'decimal_place': 6, 'contract_address': '0xb12bfca5a55806aaf64e99521918a4bf0fc40802'}, 'optimistic-ethereum': {'decimal_place': 6, 'contract_address': '0x7f5c764cbc14f9669b88837ca1490cca17c31607'}, 'metis-andromeda': {'decimal_place': 6, 'contract_address': '0xea32a96608495e54156ae48931a7c20f0dcc1a21'}, 'fuse': {'decimal_place': 6, 'contract_address': '0x620fd5fa44be6af63715ef4e65ddfa0387ad13f5'}, 'kucoin-community-chain': {'decimal_place': 18, 'contract_address': '0x980a5afef3d17ad98635f6c5aebcbaeded3c3430'}, 'meter': {'decimal_place': 6, 'contract_address': '0xd86e243fc0007e6226b07c9a50c9d70d78299eb5'}, 'avalanche': {'decimal_place': 6, 'contract_address': '0xb97ef9ef8734c71904d8002f8b6bc66dd9c48a6e'}, 'telos': {'decimal_place': 18, 'contract_address': '0x818ec0a7fe18ff94269904fced6ae3dae6d6dc0b'}, 'syscoin': {'decimal_place': 6, 'contract_address': '0x2bf9b864cdc97b08b6d79ad4663e71b8ab65c45c'}, 'milkomeda-cardano': {'decimal_place': 6, 'contract_address': '0xb44a9b6905af7c801311e8f4e76932ee959c663c'}, 'defi-kingdoms-blockchain': {'decimal_place': None, 'contract_address': '0x3ad9dfe640e1a9cc1d9b0948620820d975c3803a'}, 'elastos': {'decimal_place': 6, 'contract_address': '0xa06be0f5950781ce28d965e5efc6996e88a8c141'}, 'evmos': {'decimal_place': 6, 'contract_address': '0x51e44ffad5c2b122c8b635671fcc8139dc636e82'}, 'sx-network': {'decimal_place': 6, 'contract_address': '0xe2aa35c2039bd0ff196a6ef99523cc0d3972ae3e'}, 'energi': {'decimal_place': 6, 'contract_address': '0xffd7510ca0a3279c7a5f50018a26c21d5bc1dbcf'}, 'conflux': {'decimal_place': 18, 'contract_address': '0x6963efed0ab40f6c3d7bda44a05dcf1437c44372'}, 'cosmos': {'decimal_place': 0, 'contract_address': 'ibc/D189335C6E4A68B513C10AB227BF1C1D38C746766278BA3EEB4FB14124F1D858'}, 'astar': {'decimal_place': 6, 'contract_address': '0x6a2d262d56735dba19dd70682b39f6be9a931d98'}, 'kava': {'decimal_place': 6, 'contract_address': '0xfa9343c3897324496a05fc75abed6bac29f8a40f'}, 'bitgert': {'decimal_place': 18, 'contract_address': '0xcf2df9377a4e3c10e9ea29fdb8879d74c27fcde7'}, 'arbitrum-nova': {'decimal_place': None, 'contract_address': '0x750ba8b76187092b0d1e87e28daaf484d1b5273b'}, 'canto': {'decimal_place': 6, 'contract_address': '0x80b5a32e4f032b2a058b4f29ec95eefeeb87adcd'}, 'dogechain': {'decimal_place': 6, 'contract_address': '0x765277eebeca2e31912c9946eae1021199b39c61'}, 'velas': {'decimal_place': 6, 'contract_address': '0x80a16016cc4a2e6a2caca8a4a498b1699ff0f844'}, 'klay-token': {'decimal_place': 6, 'contract_address': '0x6270b58be569a7c0b8f47594f191631ae5b2c86c'}, 'step-network': {'decimal_place': 6, 'contract_address': '0xe3f5a90f9cb311505cd691a46596599aa1a0ad7d'}}","{'ethereum': {'decimal_place': 18, 'contract_address': '0xae7ab96520de3a18e5e111b5eaab095312d7fe84'}}","{'': {'decimal_place': None, 'contract_address': ''}}","{'': {'decimal_place': None, 'contract_address': ''}}","{'': {'decimal_place': None, 'contract_address': ''}}"
10,0,0,0,0,0,0,0,1,0
SHA-256,Ethash,,,,,,,Scrypt,
"['Cryptocurrency', 'Layer 1 (L1)']","['Smart Contract Platform', 'Layer 1 (L1)', 'Ethereum Ecosystem']","['Mantle Ecosystem', 'Stablecoins', 'USD Stablecoin', 'BNB Chain Ecosystem', 'Gnosis Chain Ecosystem', 'Solana Ecosystem', 'Avalanche Ecosystem', 'Moonriver Ecosystem', 'Harmony Ecosystem', 'Near Protocol Ecosystem', 'Fantom Ecosystem', 'Polygon Ecosystem', 'Arbitrum Ecosystem', 'Moonbeam Ecosystem', 'Tezos Ecosystem', 'Ethereum Ecosystem', 'Metis Ecosystem', 'Velas Ecosystem', 'EthereumPoW Ecosystem', 'Cronos Ecosystem', 'Optimism Ecosystem', 'Canto Ecosystem']","['Alleged SEC Securities', 'Smart Contract Platform', 'Exchange-based Tokens', 'BNB Chain Ecosystem', 'Centralized Exchange (CEX)', 'Avalanche Ecosystem', 'Moonriver Ecosystem', 'Layer 1 (L1)', 'Polygon Ecosystem', 'Ethereum Ecosystem']",['Cryptocurrency'],"['Mantle Ecosystem', 'Stablecoins', 'USD Stablecoin', 'BNB Chain Ecosystem', 'Gnosis Chain Ecosystem', 'Solana Ecosystem', 'Avalanche Ecosystem', 'Moonriver Ecosystem', 'Harmony Ecosystem', 'Near Protocol Ecosystem', 'Fantom Ecosystem', 'Polygon Ecosystem', 'Arbitrum Ecosystem', 'Moonbeam Ecosystem', 'Ethereum Ecosystem', 'Metis Ecosystem', 'Arbitrum Nova Ecosystem', 'Velas Ecosystem', 'Cronos Ecosystem', 'Optimism Ecosystem', 'ZkSync Ecosystem', 'Canto Ecosystem']","['Decentralized Finance (DeFi)', 'Eth 2.0 Staking', 'Ethereum Ecosystem', 'Liquid Staking Tokens']","['Alleged SEC Securities', 'Smart Contract Platform', 'Cardano Ecosystem', 'Layer 1 (L1)']","['Cryptocurrency', 'BNB Chain Ecosystem', 'Meme']","['Alleged SEC Securities', 'Smart Contract Platform', 'Solana Ecosystem', 'Layer 1 (L1)']"
"{'en': 'Bitcoin', 'de': 'Bitcoin', 'es': 'Bitcoin', 'fr': 'Bitcoin', 'it': 'Bitcoin', 'pl': 'Bitcoin', 'ro': 'Bitcoin', 'hu': 'Bitcoin', 'nl': 'Bitcoin', 'pt': 'Bitcoin', 'sv': 'Bitcoin', 'vi': 'Bitcoin', 'tr': 'Bitcoin', 'ru': 'Биткоин', 'ja': 'ビットコイン', 'zh': '比特币', 'zh-tw': '比特幣', 'ko': '비트코인', 'ar': 'بيتكوين', 'th': 'บิตคอยน์', 'id': 'Bitcoin', 'cs': 'Bitcoin', 'da': 'Bitcoin', 'el': 'Bitcoin', 'hi': 'Bitcoin', 'no': 'Bitcoin', 'sk': 'Bitcoin', 'uk': 'Bitcoin', 'he': 'Bitcoin', 'fi': 'Bitcoin', 'bg': 'Bitcoin', 'hr': 'Bitcoin', 'lt': 'Bitcoin', 'sl': 'Bitcoin'}","{'en': 'Ethereum', 'de': 'Ethereum', 'es': 'Ethereum', 'fr': 'Ethereum', 'it': 'Ethereum', 'pl': 'Ethereum', 'ro': 'Ethereum', 'hu': 'Ethereum', 'nl': 'Ethereum', 'pt': 'Ethereum', 'sv': 'Ethereum', 'vi': 'Ethereum', 'tr': 'Ethereum', 'ru': 'Эфириум', 'ja': 'イーサリアム', 'zh': '以太坊', 'zh-tw': '以太幣', 'ko': '이더리움', 'ar': 'يثريوم', 'th': 'Ethereum', 'id': 'Ethereum', 'cs': 'Ethereum', 'da': 'Ethereum', 'el': 'Ethereum', 'hi': 'Ethereum', 'no': 'Ethereum', 'sk': 'Ethereum', 'uk': 'Ethereum', 'he': 'Ethereum', 'fi': 'Ethereum', 'bg': 'Ethereum', 'hr': 'Ethereum', 'lt': 'Ethereum', 'sl': 'Ethereum'}","{'en': 'Tether', 'de': 'Tether', 'es': 'Tether', 'fr': 'Tether', 'it': 'Tether', 'pl': 'Tether', 'ro': 'Tether', 'hu': 'Tether', 'nl': 'Tether', 'pt': 'Tether', 'sv': 'Tether', 'vi': 'Tether', 'tr': 'Tether', 'ru': 'Tether', 'ja': 'テザー', 'zh': '泰达币', 'zh-tw': '泰達幣', 'ko': '테더', 'ar': 'Tether', 'th': 'Tether', 'id': 'Tether', 'cs': 'Tether', 'da': 'Tether', 'el': 'Tether', 'hi': 'Tether', 'no': 'Tether', 'sk': 'Tether', 'uk': 'Tether', 'he': 'Tether', 'fi': 'Tether', 'bg': 'Tether', 'hr': 'Tether', 'lt': 'Tether', 'sl': 'Tether'}","{'en': 'BNB', 'de': 'BNB', 'es': 'BNB', 'fr': 'BNB', 'it': 'BNB', 'pl': 'BNB', 'ro': 'BNB', 'hu': 'BNB', 'nl': 'BNB', 'pt': 'BNB', 'sv': 'BNB', 'vi': 'BNB', 'tr': 'BNB', 'ru': 'BNB', 'ja': 'バイナンスコイン', 'zh': '币安币', 'zh-tw': '幣安幣', 'ko': '바이낸스 코인', 'ar': 'BNB', 'th': 'BNB', 'id': 'BNB', 'cs': 'BNB', 'da': 'BNB', 'el': 'BNB', 'hi': 'BNB', 'no': 'BNB', 'sk': 'BNB', 'uk': 'BNB', 'he': 'BNB', 'fi': 'BNB', 'bg': 'BNB', 'hr': 'BNB', 'lt': 'BNB', 'sl': 'BNB'}","{'en': 'XRP', 'de': 'XRP', 'es': 'XRP', 'fr': 'XRP', 'it': 'XRP', 'pl': 'XRP', 'ro': 'XRP', 'hu': 'XRP', 'nl': 'XRP', 'pt': 'XRP', 'sv': 'XRP', 'vi': 'XRP', 'tr': 'XRP', 'ru': 'Ripple', 'ja': 'リップル', 'zh': '瑞波币', 'zh-tw': '瑞波幣', 'ko': '리플코인', 'ar': 'XRP', 'th': 'XRP', 'id': 'XRP', 'cs': 'XRP', 'da': 'XRP', 'el': 'XRP', 'hi': 'XRP', 'no': 'XRP', 'sk': 'XRP', 'uk': 'XRP', 'he': 'XRP', 'fi': 'XRP', 'bg': 'XRP', 'hr': 'XRP', 'lt': 'XRP', 'sl': 'XRP'}","{'en': 'USD Coin', 'de': 'USD Coin', 'es': 'USD Coin', 'fr': 'USD Coin', 'it': 'USD Coin', 'pl': 'USD Coin', 'ro': 'USD Coin', 'hu': 'USD Coin', 'nl': 'USD Coin', 'pt': 'USD Coin', 'sv': 'USD Coin', 'vi': 'USD Coin', 'tr': 'USD Coin', 'ru': 'USD Coin', 'ja': 'USDコイン', 'zh': 'USD Coin', 'zh-tw': 'USD Coin', 'ko': 'USD Coin', 'ar': 'USD Coin', 'th': 'USD Coin', 'id': 'USD Coin', 'cs': 'USD Coin', 'da': 'USD Coin', 'el': 'USD Coin', 'hi': 'USD Coin', 'no': 'USD Coin', 'sk': 'USD Coin', 'uk': 'USD Coin', 'he': 'USD Coin', 'fi': 'USD Coin', 'bg': 'USD Coin', 'hr': 'USD Coin', 'lt': 'USD Coin', 'sl': 'USD Coin'}","{'en': 'Lido Staked Ether', 'de': 'Lido Staked Ether', 'es': 'Lido Staked Ether', 'fr': 'Lido Staked Ether', 'it': 'Lido Staked Ether', 'pl': 'Lido Staked Ether', 'ro': 'Lido Staked Ether', 'hu': 'Lido Staked Ether', 'nl': 'Lido Staked Ether', 'pt': 'Lido Staked Ether', 'sv': 'Lido Staked Ether', 'vi': 'Lido Staked Ether', 'tr': 'Lido Staked Ether', 'ru': 'Lido Staked Ether', 'ja': 'Lido Staked Ether', 'zh': 'Lido Staked Ether', 'zh-tw': 'Lido Staked Ether', 'ko': 'Lido Staked Ether', 'ar': 'Lido Staked Ether', 'th': 'Lido Staked Ether', 'id': 'Lido Staked Ether', 'cs': 'Lido Staked Ether', 'da': 'Lido Staked Ether', 'el': 'Lido Staked Ether', 'hi': 'Lido Staked Ether', 'no': 'Lido Staked Ether', 'sk': 'Lido Staked Ether', 'uk': 'Lido Staked Ether', 'he': 'Lido Staked Ether', 'fi': 'Lido Staked Ether', 'bg': 'Lido Staked Ether', 'hr': 'Lido Staked Ether', 'lt': 'Lido Staked Ether', 'sl': 'Lido Staked Ether'}","{'en': 'Cardano', 'de': 'Cardano', 'es': 'Cardano', 'fr': 'Cardano', 'it': 'Cardano', 'pl': 'Cardano', 'ro': 'Cardano', 'hu': 'Cardano', 'nl': 'Cardano', 'pt': 'Cardano', 'sv': 'Cardano', 'vi': 'Cardano', 'tr': 'Cardano', 'ru': 'Кардано', 'ja': 'エイダ', 'zh': '艾达币', 'zh-tw': '艾達幣', 'ko': '에이다', 'ar': 'كاردانو', 'th': 'Cardano', 'id': 'Cardano', 'cs': 'Cardano', 'da': 'Cardano', 'el': 'Cardano', 'hi': 'Cardano', 'no': 'Cardano', 'sk': 'Cardano', 'uk': 'Cardano', 'he': 'Cardano', 'fi': 'Cardano', 'bg': 'Cardano', 'hr': 'Cardano', 'lt': 'Cardano', 'sl': 'Cardano'}","{'en': 'Dogecoin', 'de': 'Dogecoin', 'es': 'Dogecoin', 'fr': 'Dogecoin', 'it': 'Dogecoin', 'pl': 'Dogecoin', 'ro': 'Dogecoin', 'hu': 'Dogecoin', 'nl': 'Dogecoin', 'pt': 'Dogecoin', 'sv': 'Dogecoin', 'vi': 'Dogecoin', 'tr': 'Dogecoin', 'ru': 'Dogecoin', 'ja': 'ドージコイン', 'zh': '狗狗币', 'zh-tw': '狗狗幣', 'ko': '도지코인', 'ar': 'الدوجكوين', 'th': 'Dogecoin', 'id': 'Dogecoin', 'cs': 'Dogecoin', 'da': 'Dogecoin', 'el': 'Dogecoin', 'hi': 'Dogecoin', 'no': 'Dogecoin', 'sk': 'Dogecoin', 'uk': 'Dogecoin', 'he': 'Dogecoin', 'fi': 'Dogecoin', 'bg': 'Dogecoin', 'hr': 'Dogecoin', 'lt': 'Dogecoin', 'sl': 'Dogecoin'}","{'en': 'Solana', 'de': 'Solana', 'es': 'Solana', 'fr': 'Solana', 'it': 'Solana', 'pl': 'Solana', 'ro': 'Solana', 'hu': 'Solana', 'nl': 'Solana', 'pt': 'Solana', 'sv': 'Solana', 'vi': 'Solana', 'tr': 'Solana', 'ru': 'Solana', 'ja': 'ソラナ', 'zh': 'Solana', 'zh-tw': 'Solana', 'ko': 'Solana', 'ar': 'Solana', 'th': 'Solana', 'id': 'Solana', 'cs': 'Solana', 'da': 'Solana', 'el': 'Solana', 'hi': 'Solana', 'no': 'Solana', 'sk': 'Solana', 'uk': 'Solana', 'he': 'Solana', 'fi': 'Solana', 'bg': 'Solana', 'hr': 'Solana', 'lt': 'Solana', 'sl': 'Solana'}"
2009-01-03,2015-07-30,,2017-07-08,,,,,2013-12-08,
