date,id,prices,price_diff,market_caps,market_caps_diff,total_volumes,total_volumes_diff,open,high,low
2013-12-15,dogecoin,0.0,,3488670.0,,0.0,,0.0,0.0,0.0
2013-12-19,dogecoin,0.0,0.0,4299422.0,2107435.0,0.0,0.0,0.0,0.0,0.0
2013-12-23,dogecoin,0.0,0.0,4022744.0,-616822.0,0.0,0.0,0.0,0.0,0.0
2013-12-27,dogecoin,0.0,0.0,8200082.0,185308.0,408643.0,408643.0,0.0,0.0,0.0
2013-12-31,dogecoin,0.0,0.0,7902574.0,327345.0,307971.0,-19051.0,0.0,0.0,0.0
2014-01-03,dogecoin,0.0,0.0,6394233.0,-444209.0,329196.0,45040.0,0.0,0.0,0.0
2014-01-07,dogecoin,0.0,0.0,5332465.0,-339662.0,217425.0,-45842.0,0.0,0.0,0.0
2014-01-11,dogecoin,0.0,0.0,9161328.0,3058308.0,566763.0,255800.0,0.0,0.0,0.0
2014-01-15,dogecoin,0.0,0.0,9844536.0,1973411.0,609000.0,201449.0,0.0,0.0,0.0
2014-01-19,dogecoin,0.0,0.0,18232457.0,5241393.0,2988120.0,2259288.0,0.0,0.0,0.0
2014-01-23,dogecoin,0.0,0.0,52823305.0,-7618348.0,5292870.0,-3136180.0,0.0,0.0,0.0
2014-01-27,dogecoin,0.0,0.0,60497921.0,-3918691.0,4380960.0,1381860.0,0.0,0.0,0.0
2014-01-31,dogecoin,0.0,0.0,61487388.0,3477652.0,1761990.0,-553210.0,0.0,0.0,0.0
2014-02-03,dogecoin,0.0,0.0,56370074.0,-2369613.0,2666580.0,1587670.0,0.0,0.0,0.0
2014-02-07,dogecoin,0.0,0.0,50710726.0,-7480612.0,1300450.0,-1258240.0,0.0,0.0,0.0
2014-02-11,dogecoin,0.0,0.0,77721495.0,21216161.0,5329270.0,1449690.0,0.0,0.0,0.0
2014-02-15,dogecoin,0.0,0.0,73684156.0,-7199128.0,5157380.0,-1632990.0,0.0,0.0,0.0
2014-02-19,dogecoin,0.0,0.0,71588924.0,1698510.0,2543810.0,733350.0,0.0,0.0,0.0
2014-02-23,dogecoin,0.0,0.0,64053895.0,-3019541.0,2717000.0,1359050.0,0.0,0.0,0.0
2014-02-27,dogecoin,0.0,0.0,63692978.0,2605624.0,1653380.0,-1175230.0,0.0,0.0,0.0
2014-02-28,dogecoin,0.0,0.0,59450344.0,-4242634.0,1520760.0,-132620.0,0.0,0.0,0.0
2014-03-07,dogecoin,0.0,0.0,57991280.0,-3125366.0,1115930.0,-85760.0,0.0,0.0,0.0
2014-03-11,dogecoin,0.0,0.0,46340580.0,-4729148.0,1512960.0,102420.0,0.0,0.0,0.0
2014-03-15,dogecoin,0.0,0.0,52259118.0,-163491.0,981617.0,-1052693.0,0.0,0.0,0.0
2014-03-19,dogecoin,0.0,0.0,48558380.0,1437488.0,1404530.0,-36050.0,0.0,0.0,0.0
2014-03-23,dogecoin,0.0,0.0,43003981.0,-363992.0,721895.0,-1437225.0,0.0,0.0,0.0
2014-03-27,dogecoin,0.0,0.0,35187414.0,-6105768.0,1466000.0,640431.0,0.0,0.0,0.0
2014-03-31,dogecoin,0.0,0.0,33070834.0,-1715629.0,1380130.0,-44950.0,0.0,0.0,0.0
2014-04-03,dogecoin,0.0,0.0,29951047.0,1394060.0,1151820.0,-233740.0,0.0,0.0,0.0
2014-04-07,dogecoin,0.0,0.0,31320075.0,136536.0,781320.0,80312.0,0.0,0.0,0.0
2014-04-11,dogecoin,0.0,0.0,30552384.0,6564423.0,1096790.0,234526.0,0.0,0.0,0.0
2014-04-15,dogecoin,0.0,0.0,41542471.0,9064692.0,2503670.0,1087110.0,0.0,0.0,0.0
2014-04-19,dogecoin,0.0,0.0,46564361.0,2325082.0,1622690.0,111340.0,0.0,0.0,0.0
2014-04-23,dogecoin,0.0,0.0,41808110.0,-1153241.0,382004.42,80483.44,0.0,0.0,0.0
2014-04-27,dogecoin,0.0,0.0,32876233.0,-2217764.0,379467.39,-82436.90999999997,0.0,0.0,0.0
2014-04-30,dogecoin,0.0,0.0,37748840.0,560359.0,584361.87,-105318.83999999997,0.0,0.0,0.0
2014-05-03,dogecoin,0.0,0.0,35050657.0,-1430846.0,242558.58,-18209.180000000022,0.0,0.0,0.0
2014-05-07,dogecoin,0.0,0.0,36156076.0,1312737.0,320111.22,-46095.880000000005,0.0,0.0,0.0
2014-05-11,dogecoin,0.0,0.0,35195735.0,-1613856.0,206683.93,-43151.830000000016,0.0,0.0,0.0
2014-05-15,dogecoin,0.0,0.0,35383915.0,-25230.0,321964.64,86287.15000000002,0.0,0.0,0.0
2014-05-19,dogecoin,0.0,0.0,34833347.0,-291847.0,194345.64,12880.5,0.0,0.0,0.0
2014-05-23,dogecoin,0.0,0.0,32665535.0,-645348.0,579951.44,-67481.12000000011,0.0,0.0,0.0
