date,id,prices,price_diff,market_caps,market_caps_diff,total_volumes,total_volumes_diff,date,open,high,low
2015-08-07,bitcoin,2.83,,0.0,,90622.0,,2015-08-07,2.83,2.83,2.83
2015-08-11,bitcoin,1.07,0.3800000000000001,64539006.31,22982697.1,1518998.21,1118534.14,2015-08-11,1.33,1.33,0.69
2015-08-15,bitcoin,1.67,-0.16000000000000014,101215246.38,-9340066.88000001,2519633.27,-1835985.1099999999,2015-08-15,1.26,1.83,1.26
2015-08-19,bitcoin,1.25,-0.030000000000000027,90920695.87,-2037162.1899999976,1537200.84,-158812.6299999999,2015-08-19,1.48,1.48,1.2
2015-08-23,bitcoin,1.36,-0.019999999999999796,98488001.44,-1820762.3400000036,1610695.87,696107.2200000001,2015-08-23,1.48,1.48,1.36
2015-08-27,bitcoin,1.13,0.009999999999999787,82504022.82,1049143.349999994,681460.24,-470239.80000000005,2015-08-27,1.25,1.25,1.12
2015-08-31,bitcoin,1.35,0.030000000000000027,98608290.54,2287240.850000009,1197102.05,151512.7300000001,2015-08-31,1.19,1.35,1.17
2015-09-03,bitcoin,1.26,-0.020000000000000018,92075482.63,-1148888.6300000101,583923.75,-45822.369999999995,2015-09-03,1.35,1.35,1.26
2015-09-07,bitcoin,1.26,-0.040000000000000036,91718481.32,-3083225.3900000006,487005.2,169535.11,2015-09-07,1.27,1.33,1.26
2015-09-11,bitcoin,0.98,-0.18999999999999995,71394234.95,-13914710.86999999,1901710.69,1262182.77,2015-09-11,1.24,1.24,0.98
2015-09-15,bitcoin,0.94,0.06999999999999995,68951445.23,4985476.020000003,725816.47,-13397.26000000001,2015-09-15,1.04,1.04,0.87
2015-09-19,bitcoin,0.88,0.030000000000000027,64666306.23,2663031.1099999994,387803.62,-90802.78000000003,2015-09-19,0.9,0.9,0.85
2015-09-23,bitcoin,0.89,-0.010000000000000009,65633959.75,-201363.0300000012,204065.41,-281673.55000000005,2015-09-23,0.94,0.94,0.89
2015-09-27,bitcoin,0.72,-0.06000000000000005,53028193.82,-4130221.6199999973,408380.64,29256.45000000001,2015-09-27,0.82,0.82,0.72
2015-09-30,bitcoin,0.73,0.06999999999999995,54065419.51,5676376.609999999,640217.62,-296412.70999999996,2015-09-30,0.58,0.73,0.58
2015-10-03,bitcoin,0.69,0.009999999999999898,50638684.02,845904.7300000042,163820.85,-57148.630000000005,2015-10-03,0.69,0.69,0.68
2015-10-07,bitcoin,0.61,-0.040000000000000036,44984157.19,-2621739.200000003,216715.51,-51807.52999999997,2015-10-07,0.67,0.67,0.61
2015-10-11,bitcoin,0.64,0.010000000000000009,47026115.24,535118.6900000051,87074.8,-58480.14,2015-10-11,0.62,0.65,0.62
2015-10-15,bitcoin,0.56,0.040000000000000036,41527413.54,3254778.519999996,376563.07,-568284.73,2015-10-15,0.63,0.63,0.52
2015-10-19,bitcoin,0.49,-0.030000000000000027,36070935.31,-2311189.1099999994,240250.38,106588.70999999999,2015-10-19,0.53,0.55,0.49
2015-10-23,bitcoin,0.54,-0.029999999999999916,40100107.01,-1818433.7700000033,866798.49,-112505.57999999996,2015-10-23,0.43,0.57,0.43
2015-10-27,bitcoin,0.85,0.10999999999999999,63451496.57,8224502.780000001,1887568.91,713542.0899999999,2015-10-27,0.57,0.85,0.57
2015-10-31,bitcoin,0.91,-0.13,67453442.48,-9994396.950000003,652271.59,-1732278.4100000001,2015-10-31,1.01,1.16,0.91
2015-11-03,bitcoin,1.0,0.040000000000000036,74613449.56,3547097.5,1878273.01,907607.33,2015-11-03,1.06,1.06,0.96
2015-11-07,bitcoin,0.92,0.010000000000000009,68761146.28,993756.1800000072,904631.87,-8997.300000000047,2015-11-07,0.9,0.92,0.9
2015-11-11,bitcoin,0.79,-0.14,58873875.71,-10879616.43,1243322.75,378291.20999999996,2015-11-11,1.03,1.03,0.79
2015-11-15,bitcoin,0.91,0.030000000000000027,68078325.79,2011611.3000000045,432023.41,70437.28999999998,2015-11-15,0.9,0.91,0.88
2015-11-19,bitcoin,0.95,-0.040000000000000036,71212297.76,-3190420.9899999946,434385.48,-252817.84999999998,2015-11-19,0.93,1.0,0.93
2015-11-23,bitcoin,0.95,-0.010000000000000009,70839197.82,-1437141.4300000072,437126.39,65163.51000000001,2015-11-23,0.93,0.97,0.93
2015-11-27,bitcoin,0.87,-0.020000000000000018,65341845.39,-1790210.2199999988,398595.5,-561100.97,2015-11-27,0.9,0.9,0.87
2015-11-30,bitcoin,0.87,0.0,65624853.97,161511.0,775372.54,338433.41000000003,2015-11-30,0.92,0.92,0.87
2015-12-03,bitcoin,0.82,0.0,62018808.09,174029.06000000238,541681.14,47475.25,2015-12-03,0.88,0.88,0.82
2015-12-07,bitcoin,0.8,-0.029999999999999916,60292476.61,-2557787.8100000024,494657.62,64976.330000000016,2015-12-07,0.84,0.86,0.8
2015-12-11,bitcoin,0.92,0.07000000000000006,69119370.63,5246818.349999994,765839.87,391296.86,2015-12-11,0.82,0.92,0.79
2015-12-15,bitcoin,1.02,0.020000000000000018,76787012.6,1653990.199999988,573171.62,10448.229999999981,2015-12-15,0.97,1.02,0.96
2015-12-19,bitcoin,0.91,-0.010000000000000009,68767429.85,-849561.1400000006,333313.42,35447.01999999996,2015-12-19,0.99,0.99,0.91
2015-12-23,bitcoin,0.87,-0.010000000000000009,65674405.65,-840352.5399999991,333657.86,-134486.7,2015-12-23,0.9,0.9,0.87
2015-12-27,bitcoin,0.86,0.010000000000000009,65104495.78,466943.3800000027,208247.22,-215875.87999999998,2015-12-27,0.86,0.87,0.85
2015-12-31,bitcoin,0.94,0.039999999999999925,71083912.7,2768508.150000006,668846.07,84431.59999999998,2015-12-31,0.84,0.94,0.84
2016-01-03,bitcoin,0.97,0.030000000000000027,73864483.22,2612375.25,402755.91,149875.66999999998,2016-01-03,0.95,0.97,0.94
2016-01-07,bitcoin,0.96,-0.010000000000000009,72931723.31,-719237.6200000048,642269.52,313762.37,2016-01-07,0.96,0.97,0.95
2016-01-11,bitcoin,1.07,0.050000000000000044,81416101.64,3740096.9899999946,1025253.04,620937.1100000001,2016-01-11,1.0,1.07,1.0
2016-01-15,bitcoin,1.21,0.050000000000000044,92329493.83,4072273.870000005,4049516.21,3318465.36,2016-01-15,1.17,1.21,1.13
2016-01-19,bitcoin,1.38,-0.020000000000000018,105177492.61,-1592712.3900000006,1684557.29,-2389152.83,2016-01-19,1.22,1.4,1.22
2016-01-23,bitcoin,1.69,0.21999999999999997,129390552.65,16895655.96000001,2212028.8,627000.8099999998,2016-01-23,1.57,1.69,1.47
2016-01-27,bitcoin,2.38,0.29000000000000004,182534589.03,22790473.96000001,7048626.22,-4620914.010000001,2016-01-27,2.13,2.48,2.09
2016-01-31,bitcoin,2.3,-0.14000000000000012,176275775.71,-10586984.00999999,5834817.71,2160727.31,2016-01-31,2.52,2.52,2.3
2016-02-03,bitcoin,2.52,0.1200000000000001,193120920.36,8724788.76000002,4030697.34,428295.0299999998,2016-02-03,2.22,2.52,2.22
2016-02-07,bitcoin,2.95,0.43000000000000016,226795324.21,33345073.74000001,7099203.55,5174628.83,2016-02-07,2.56,2.95,2.52
2016-02-11,bitcoin,6.01,1.58,462140079.76,121515885.61000001,28752968.92,-563428.6899999976,2016-02-11,3.17,6.01,3.17
2016-02-15,bitcoin,5.32,0.15000000000000036,409885035.83,11650120.289999962,13786358.78,2234297.0699999984,2016-02-15,5.48,5.48,5.17
2016-02-19,bitcoin,4.49,0.08999999999999986,346746765.74,7513233.030000031,7215680.13,-10491963.740000002,2016-02-19,4.37,4.49,3.74
2016-02-23,bitcoin,5.61,0.0,433593972.8,400075.5799999833,13534870.66,-1605376.2300000004,2016-02-23,4.3,5.61,4.3
2016-02-27,bitcoin,6.36,0.45999999999999996,491795616.49,35713519.629999995,8967228.05,-548055.209999999,2016-02-27,6.13,6.36,5.9
2016-02-29,bitcoin,6.31,-0.13000000000000078,488620056.24,-9804297.76999998,7546069.55,-2137011.46,2016-02-29,6.44,6.44,6.31
2016-03-03,bitcoin,9.5,1.0999999999999996,736507630.91,85960468.68999994,40441406.85,10698168.940000001,2016-03-03,7.56,9.5,7.56
2016-03-07,bitcoin,9.4,-1.5600000000000005,729122199.52,-121318020.40999997,31891736.92,-9595528.54,2016-03-07,10.04,10.96,9.4
2016-03-11,bitcoin,11.21,0.0,870802676.03,475447.2999999523,21083465.44,-5070631.0299999975,2016-03-11,9.8,11.97,9.8
2016-03-15,bitcoin,12.97,0.6800000000000015,1008754617.76,53033273.30999994,30654519.11,-26083937.32,2016-03-15,13.38,14.89,12.29
2016-03-19,bitcoin,10.44,-0.3600000000000012,816289545.74,-27657342.189999938,26241552.22,-30090380.28,2016-03-19,12.53,12.53,10.44
2016-03-23,bitcoin,12.4,1.08,972225642.28,85460412.18999994,19194415.66,-557732.1000000015,2016-03-23,10.22,12.4,10.22
2016-03-27,bitcoin,10.38,-0.5899999999999999,814770808.15,-45820038.97000003,16296116.83,7196883.83,2016-03-27,11.13,11.13,10.38
2016-03-31,bitcoin,11.35,-0.5300000000000011,892916961.58,-41121047.44999993,14483801.49,-4482240.130000001,2016-03-31,11.68,11.88,11.35
2016-04-03,bitcoin,11.51,-0.05000000000000071,906254482.47,-3853870.149999976,6190954.95,-2059296.5099999998,2016-04-03,11.64,11.64,11.51
