date,id,prices,price_diff,market_caps,market_caps_diff,total_volumes,total_volumes_diff,open,high,low
2013-08-07,ripple,0.0,0.0,35071445.0,-1429188.0,0.0,0.0,0.01,0.01,0.0
2013-08-11,ripple,0.0,0.0,34180440.0,420134.0,0.0,0.0,0.0,0.0,0.0
2013-08-15,ripple,0.0,0.0,26014497.0,-4052091.0,0.0,0.0,0.0,0.0,0.0
2013-08-19,ripple,0.01,0.0,43465591.0,-4986875.0,0.0,0.0,0.0,0.01,0.0
2013-08-23,ripple,0.01,0.0,40146428.0,-6503702.0,0.0,0.0,0.01,0.01,0.01
2013-08-27,ripple,0.01,0.0,50190696.0,-358998.0,0.0,0.0,0.01,0.01,0.01
2013-08-31,ripple,0.01,0.0,45838868.0,-1420432.0,0.0,0.0,0.01,0.01,0.01
2013-09-03,ripple,0.01,0.0,44351827.0,359623.0,0.0,0.0,0.01,0.01,0.01
2013-09-07,ripple,0.01,0.0,48377102.0,2164774.0,0.0,0.0,0.01,0.01,0.01
2013-09-11,ripple,0.01,0.0,47544184.0,1778570.0,0.0,0.0,0.01,0.01,0.01
2013-09-15,ripple,0.01,0.0,50264341.0,688366.0,0.0,0.0,0.01,0.01,0.01
2013-09-19,ripple,0.01,0.0,86948225.0,2152265.0,0.0,0.0,0.01,0.01,0.01
2013-09-23,ripple,0.01,0.0,78329783.0,-2982525.0,0.0,0.0,0.01,0.01,0.01
2013-09-30,ripple,0.01,0.0,86316539.0,-24232332.0,0.0,0.0,0.01,0.01,0.01
2013-10-03,ripple,0.01,0.0,65677467.0,-7075268.0,0.0,0.0,0.01,0.01,0.01
2013-10-07,ripple,0.01,0.0,72946619.0,-8166333.0,0.0,0.0,0.01,0.01,0.01
2013-10-11,ripple,0.01,0.0,70884650.0,-7990040.0,0.0,0.0,0.01,0.01,0.01
2013-10-15,ripple,0.01,0.0,62441408.0,-4314302.0,0.0,0.0,0.01,0.01,0.01
2013-10-19,ripple,0.01,0.0,57015167.0,-3707087.0,0.0,0.0,0.01,0.01,0.01
2013-10-23,ripple,0.01,0.0,58085358.0,5044572.0,0.0,0.0,0.01,0.01,0.01
2013-10-27,ripple,0.01,0.0,51948627.0,2640336.0,0.0,0.0,0.01,0.01,0.01
2013-10-31,ripple,0.01,0.0,46886543.0,-473373.0,0.0,0.0,0.01,0.01,0.01
2013-11-03,ripple,0.01,0.0,55918082.0,4858506.0,0.0,0.0,0.01,0.01,0.01
2013-11-07,ripple,0.01,0.0,69521914.0,8857825.0,0.0,0.0,0.01,0.01,0.01
2013-11-11,ripple,0.01,0.0,65473107.0,-3430568.0,0.0,0.0,0.01,0.01,0.01
2013-11-15,ripple,0.01,0.0,75282370.0,-1917572.0,0.0,0.0,0.01,0.01,0.01
2013-11-19,ripple,0.01,0.0,64843923.0,-20869857.0,0.0,0.0,0.01,0.01,0.01
