date,id,prices,price_diff,market_caps,market_caps_diff,total_volumes,total_volumes_diff,date,open,high,low
2020-04-11,bitcoin,0.96,,7827651.89,,92672667.43,,2020-04-11,0.96,0.96,0.96
2020-04-15,bitcoin,0.67,-0.12,5306221.07,-996143.0800000001,17523533.05,-2055681.8399999999,2020-04-15,0.78,0.88,0.67
2020-04-19,bitcoin,0.68,0.020000000000000018,5423066.29,74742.30999999959,10199318.16,-27716.58999999985,2020-04-19,0.64,0.69,0.64
2020-04-23,bitcoin,0.68,0.1100000000000001,5446538.17,854991.4100000001,18146790.14,8535948.15,2020-04-23,0.61,0.68,0.53
2020-04-27,bitcoin,0.64,-0.010000000000000009,5137791.33,-35827.90000000037,8493459.05,1168497.7800000012,2020-04-27,0.62,0.65,0.62
2020-04-30,bitcoin,0.74,0.07999999999999996,5897415.54,613724.1900000004,8964597.27,1577308.2399999993,2020-04-30,0.57,0.74,0.57
2020-05-03,bitcoin,0.71,-0.010000000000000009,5669404.17,-66475.73000000045,3457574.56,-716535.0800000001,2020-05-03,0.69,0.72,0.69
2020-05-07,bitcoin,0.62,-0.030000000000000027,5010066.05,-185745.58000000007,2715223.29,-188757.56999999983,2020-05-07,0.69,0.69,0.62
2020-05-11,bitcoin,0.54,-0.05999999999999994,4324416.95,-492290.95999999996,2370841.72,244611.5700000003,2020-05-11,0.61,0.61,0.54
2020-05-15,bitcoin,0.57,0.019999999999999907,4570789.92,157047.01999999955,548910.11,-1788811.27,2020-05-15,0.51,0.57,0.51
2020-05-19,bitcoin,0.65,0.030000000000000027,5213969.63,315961.26999999955,3280891.0,330453.18000000017,2020-05-19,0.56,0.65,0.56
2020-05-23,bitcoin,0.61,0.0,4919865.81,66823.21999999974,3449950.87,658147.46,2020-05-23,0.62,0.62,0.58
2020-05-27,bitcoin,0.57,-0.030000000000000027,4598505.35,-211224.83000000007,2703457.58,-1750454.7800000003,2020-05-27,0.61,0.61,0.55
2020-05-31,bitcoin,0.59,0.010000000000000009,9591470.34,164392.0700000003,2439529.33,388279.68000000017,2020-05-31,0.59,0.59,0.57
2020-06-03,bitcoin,0.57,-0.010000000000000009,9310563.11,-114409.48000000045,1384105.15,-848247.2000000002,2020-06-03,0.58,0.58,0.57
2020-06-07,bitcoin,0.63,-0.030000000000000027,10180036.84,-567666.120000001,1644975.95,-2608950.42,2020-06-07,0.59,0.66,0.59
2020-06-11,bitcoin,0.65,-0.010000000000000009,10648020.65,-78776.43999999948,1145633.29,210973.14,2020-06-11,0.62,0.67,0.62
2020-06-15,bitcoin,0.59,-0.020000000000000018,9583560.13,-372237.4699999988,915552.33,161764.06999999995,2020-06-15,0.57,0.61,0.57
2020-06-19,bitcoin,0.62,0.040000000000000036,10224928.44,674970.0899999999,1372641.02,667830.8300000001,2020-06-19,0.57,0.62,0.57
2020-06-23,bitcoin,0.73,0.05999999999999994,11996277.11,910036.3200000003,1654719.03,-632715.95,2020-06-23,0.69,0.73,0.64
2020-06-27,bitcoin,0.74,0.030000000000000027,12079079.15,337453.9600000009,1673667.39,-130656.27000000002,2020-06-27,0.71,0.74,0.71
2020-06-30,bitcoin,0.85,0.04999999999999993,14062849.97,926722.0200000014,2179078.5,-1240698.69,2020-06-30,0.71,0.85,0.71
2020-07-03,bitcoin,0.77,-0.05999999999999994,12783903.73,-953936.879999999,1796842.53,-43258.69999999995,2020-07-03,0.86,0.86,0.77
2020-07-07,bitcoin,0.71,0.020000000000000018,11691026.18,267632.70999999903,1164528.52,-2656455.71,2020-07-07,0.77,0.78,0.69
2020-07-11,bitcoin,0.91,0.06000000000000005,15112460.37,1067339.9499999993,1871221.38,-744731.54,2020-07-11,0.75,0.91,0.75
2020-07-15,bitcoin,1.15,-0.030000000000000027,19972946.84,-455115.3999999985,2236363.06,-1828623.7999999998,2020-07-15,0.92,1.18,0.92
2020-07-19,bitcoin,0.97,-0.010000000000000009,20602905.14,-314534.62000000104,2951092.76,-8599865.96,2020-07-19,1.29,1.29,0.87
2020-07-23,bitcoin,1.04,0.06000000000000005,23288212.44,2428519.960000001,5381567.01,1085064.1799999997,2020-07-23,0.92,1.04,0.87
2020-07-27,bitcoin,1.6,0.3500000000000001,35745817.79,7759450.419999998,9916449.45,68963.62999999896,2020-07-27,1.06,1.6,1.0
2020-07-31,bitcoin,1.69,0.030000000000000027,41117076.72,906413.8500000015,5611511.03,-5518446.55,2020-07-31,1.78,1.78,1.66
