date,id,prices,price_diff,market_caps,market_caps_diff,total_volumes,total_volumes_diff,date,open,high,low
2020-12-23,bitcoin,617.16,0.0,0.0,0.0,137563.03,0.0,2020-12-23,617.16,617.16,617.16
2020-12-27,bitcoin,629.07,4.2700000000000955,7530256.1,245512.14999999944,10300.37,-35632.689999999995,2020-12-27,596.77,629.07,596.77
2020-12-31,bitcoin,722.28,-0.4900000000000091,11905413.95,412037.5499999989,95848.21,-20893.229999999996,2020-12-31,678.1,730.42,678.1
2021-01-03,bitcoin,772.06,48.52999999999997,13205950.41,1082507.6300000008,34572.92,29468.269999999997,2021-01-03,733.32,772.06,723.53
2021-01-07,bitcoin,1173.33,59.429999999999836,21396653.6,2014800.8500000015,38065.92,-404512.05,2021-01-07,977.57,1173.33,966.9
2021-01-11,bitcoin,1279.36,32.049999999999955,32744969.53,5706630.620000001,29187.71,12565.98,2021-01-11,1223.45,1279.36,1223.45
2021-01-15,bitcoin,1215.03,77.67000000000007,76486156.15,23150086.910000004,20891.86,-44458.21,2021-01-15,1087.21,1215.03,1051.11
2021-01-19,bitcoin,1246.25,52.42000000000007,83549641.04,-913675.1299999952,3633.07,-4065.0499999999997,2021-01-19,1160.64,1246.25,1160.64
2021-01-23,bitcoin,1207.53,96.86999999999989,93051751.08,8127371.429999992,8820.21,8742.789999999999,2021-01-23,1374.72,1374.72,1110.66
2021-01-27,bitcoin,1360.21,36.91000000000008,129743647.99,8489768.670000002,94.95,-2771.82,2021-01-27,1241.67,1360.21,1241.67
2021-01-31,bitcoin,1273.12,-31.350000000000136,128423916.81,-1912659.3599999994,815.84,540.4000000000001,2021-01-31,1243.6,1368.34,1243.6
2021-02-03,bitcoin,1545.67,198.94000000000005,180735971.28,35459217.56999999,54038.05,25501.97,2021-02-03,1329.01,1545.67,1329.01
2021-02-07,bitcoin,1682.13,-49.34999999999991,220914601.53,-1353904.0,56381.28,11890.559999999998,2021-02-07,1624.43,1731.48,1594.55
2021-02-11,bitcoin,1678.91,-58.5,242295834.24,-7716708.229999989,153624.74,137895.47,2021-02-11,1613.66,1743.12,1613.66
2021-02-15,bitcoin,1803.13,0.6200000000001182,294711629.88,31771901.659999996,46387.71,26733.739999999998,2021-02-15,1798.09,1808.99,1798.09
2021-02-19,bitcoin,1875.9,58.820000000000164,333787841.52,33165260.339999974,494114.06,350296.61,2021-02-19,1791.37,1875.9,1767.65
2021-02-23,bitcoin,1732.04,-147.92000000000007,312701522.35,-27641840.109999955,102069.61,-157866.16999999998,2021-02-23,1914.17,1914.17,1732.04
2021-02-27,bitcoin,1445.75,-39.789999999999964,263018409.72,-8140199.369999975,157171.01,-14074.75999999998,2021-02-27,1549.7,1613.95,1445.75
2021-02-28,bitcoin,1461.06,15.309999999999945,264637341.6,1618931.8799999952,130538.31,-26632.70000000001,2021-02-28,1461.06,1551.56,1409.65
2021-03-07,bitcoin,1593.87,74.28999999999996,293038723.43,14172640.550000012,111495.0,-210165.99,2021-03-07,1502.86,1593.87,1502.86
2021-03-11,bitcoin,1778.53,-3.259999999999991,329898559.4,715955.0199999809,61083.94,27575.78,2021-03-11,1627.94,1781.79,1627.94
2021-03-15,bitcoin,1813.45,-77.62999999999988,337871232.22,-14968082.869999945,5742.09,-66753.5,2021-03-15,1781.88,1891.08,1740.26
2021-03-19,bitcoin,1699.73,-31.730000000000018,318143497.95,-3456053.4000000358,30388.07,-99625.06,2021-03-19,1744.36,1759.37,1699.73
2021-03-23,bitcoin,1588.62,-111.20000000000005,298103060.57,-20872657.930000007,67902.28,625.9599999999919,2021-03-23,1772.26,1772.26,1588.62
2021-03-27,bitcoin,1593.87,95.5,300043292.81,18316682.28000003,25988.48,-56570.51000000001,2021-03-27,1579.59,1593.87,1493.24
2021-03-31,bitcoin,1742.02,25.12999999999988,329674949.07,5405438.540000021,352467.56,307826.79,2021-03-31,1624.82,1742.02,1601.61
2021-04-03,bitcoin,2091.73,95.61000000000013,398684970.2,18503934.24000001,201007.64,140611.72000000003,2021-04-03,1957.06,2091.73,1957.06
2021-04-07,bitcoin,2148.34,22.610000000000127,415691225.73,5119347.980000019,301918.84,53715.840000000026,2021-04-07,2054.66,2148.34,2054.66
2021-04-11,bitcoin,2106.35,59.75999999999999,432854220.93,35604691.31999999,317570.12,246684.40999999997,2021-04-11,2026.0,2106.35,2026.0
2021-04-15,bitcoin,2344.59,89.26000000000022,526918484.56,15834425.399999976,242297.07,160080.94,2021-04-15,2117.57,2344.59,2117.57
2021-04-19,bitcoin,2171.65,-105.61000000000013,494299217.8,-23989408.379999995,103647.07,-78351.31,2021-04-19,2444.62,2444.62,2171.65
2021-04-23,bitcoin,2335.21,40.51000000000022,585848852.23,9208871.460000038,73407.63,-24403.059999999998,2021-04-23,2158.47,2335.21,2158.47
2021-04-27,bitcoin,2436.78,159.23000000000002,614456049.62,40047144.06000006,135254.78,-1084.6600000000035,2021-04-27,2253.9,2436.78,2188.41
2021-04-30,bitcoin,2774.35,-0.2300000000000182,710644702.06,1481250.519999981,292122.89,-636036.33,2021-04-30,2678.87,2774.58,2678.87
2021-05-03,bitcoin,2872.24,5.239999999999782,741949565.49,3069061.060000062,436254.84,-168285.47999999992,2021-05-03,2689.41,2872.24,2689.41
2021-05-07,bitcoin,3481.54,-26.0300000000002,958274123.49,2066925.419999957,873699.0,140783.29000000004,2021-05-07,3322.16,3507.57,3253.48
2021-05-11,bitcoin,3998.44,90.40999999999985,1341238586.51,38163769.53999996,3497120.59,1366374.4499999997,2021-05-11,3466.45,3998.44,3466.45
2021-05-15,bitcoin,4066.37,378.5899999999997,1377930608.52,124808863.58999991,4768501.19,2455391.72,2021-05-15,4087.76,4087.76,3687.78
2021-05-19,bitcoin,3327.28,46.820000000000164,1170214897.8,39467320.349999905,840972.29,-4233524.67,2021-05-19,3793.93,3793.93,3280.46
2021-05-23,bitcoin,2291.95,-101.18000000000029,962431004.97,117862982.13999999,2037601.21,-110758.18999999994,2021-05-23,2469.58,2738.76,2291.95
2021-05-27,bitcoin,2864.94,172.17000000000007,1204718909.03,70103578.56999993,4084409.24,1613868.2300000004,2021-05-27,2107.11,2864.94,2107.11
2021-05-31,bitcoin,2380.72,96.19999999999982,1056973450.89,59420616.600000024,2196306.49,-12548598.78,2021-05-31,2737.56,2737.56,2284.52
