date,id,prices,price_diff,market_caps,market_caps_diff,total_volumes,total_volumes_diff,date,open,high,low
2015-03-07,bitcoin,1.0,0.0,251600.0,0.0,58196.0,58146.0,2015-03-07,1.0,1.0,1.0
2015-03-11,bitcoin,1.0,0.0,251600.0,0.0,46.0,-49960.0,2015-03-11,1.0,1.0,1.0
2015-03-15,bitcoin,1.0,0.0,251600.0,0.0,15124.0,-2582.0,2015-03-15,1.0,1.0,1.0
2015-03-19,bitcoin,1.0,0.0,251600.0,0.0,857.0,799.0,2015-03-19,1.0,1.0,1.0
2015-03-23,bitcoin,1.0,0.0,251600.0,0.0,65.0,-1.0,2015-03-23,1.0,1.0,1.0
2015-03-27,bitcoin,1.0,0.0,251600.0,0.0,4.0,2.0,2015-03-27,1.0,1.0,1.0
2015-03-31,bitcoin,1.0,0.0,251600.0,0.0,37.0,-457.0,2015-03-31,1.0,1.0,1.0
2015-04-03,bitcoin,1.0,0.0,251600.0,0.0,79969.0,67105.0,2015-04-03,1.0,1.0,1.0
2015-04-07,bitcoin,1.0,0.0,251600.0,0.0,4.0,-3133.0,2015-04-07,1.0,1.0,1.0
2015-04-11,bitcoin,1.0,0.0,251600.0,0.0,1031.0,-99909.0,2015-04-11,1.0,1.0,1.0
2015-04-15,bitcoin,1.0,0.0,251600.0,0.0,50290.0,4275.0,2015-04-15,1.0,1.0,1.0
2015-04-19,bitcoin,1.0,0.0,251600.0,0.0,44.0,-6.0,2015-04-19,1.0,1.0,1.0
2015-04-23,bitcoin,1.0,0.0,251600.0,0.0,40294.0,-45639.0,2015-04-23,1.0,1.0,1.0
2015-04-27,bitcoin,1.0,0.0,251600.0,0.0,2045.0,1963.0,2015-04-27,1.0,1.0,1.0
2015-04-30,bitcoin,1.0,0.0,251600.0,0.0,47.0,-30190.0,2015-04-30,1.0,1.0,1.0
2015-05-03,bitcoin,1.0,0.0,251600.0,0.0,12.0,9.0,2015-05-03,1.0,1.0,1.0
2015-05-07,bitcoin,1.0,0.0,251600.0,0.0,11.0,-12.0,2015-05-07,1.0,1.0,1.0
2015-05-11,bitcoin,1.0,0.0,251600.0,0.0,100.0,-2418.0,2015-05-11,1.0,1.0,1.0
2015-05-15,bitcoin,1.0,0.0,251600.0,0.0,265.0,-614.0,2015-05-15,1.0,1.0,1.0
2015-05-19,bitcoin,1.0,0.0,451600.0,200000.0,23179.0,22499.0,2015-05-19,1.0,1.0,1.0
